Original ,Proofread,Comment,,,,,,,,,,,,,,,,,,,,,,,
そうね。もしここが不思議ふしぎな場所ばしょなら、どんな生いき物ものに出会であえるんだろう。,そうね。もしここが不思議ふしぎな場所ばしょなら、どんな生いき物ものに出会であえるのかしら。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
狼おおかみでいっぱいにならないかな,大量たいりょうの狼おおかみでなければいいけど,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
私も...,そうね…,,,,,,,,,,,,,,,,,,,,,,,,
ずっと近くにいよう。,離はなれないようにするわ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
沈んだ足 (3 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
地図によると、東に向むかう道を歩く。無音むおんなんだ。,地図によると、東に向むかう道を歩いていた二人。何なにも音おとはしない。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
新しいルーンストーンはどんなことができるのだろうか？,新しいルーンストーンはどんなことができるのかしら？,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
もっと遠くにメッセージを送おくれるようにしてほしい。どこからでも会話かいわができるようになるといいのか？,もっと遠くにメッセージを送おくれるようにしてほしいなあ。どこからでも会話かいわができるようになるといいかな？,,,,,,,,,,,,,,,,,,,,,,,,
パリパリ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
足が地面じめんに沈しずんでいく,地面じめんが沈しずんでる,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
暗い穴 (4 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
急きゅうにマーカスの下で地面じめんが開くて、暗くらい穴あなの中に落おちていきました。,急きゅうにマーカスの足元あしもとに穴あなが開あき、その暗くらい穴あなの中に落おちていきました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
マーカス！声が聞こえるのか？,マーカス！私の声は聞こえる？,,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
無事ぶじだといいんだけど,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ブレスレットでメッセージを送おくってみよう,ブレスレットでメッセージを送おくってみましょう,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,"一人前 means to become a mature, plus you don't use the word for yourself. For the right example, after you completed a training for a year, your TRAINEE say ""you are already 一人前 and you can do it by yourself without my help now.""",,,,,,,,,,,,,,,,,,,,,,,
一人前 (5 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
マーカスが倒たおれた部屋の地面じめんは柔やわらかいので、怪我けがはない。,マーカスが落ちた先は地面が柔やわらかく、怪我けがはありませんでした。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
え...ここは一体いったいどこなんだ？ セレスティナの下にいるはずだ。もう一人前いちにんまえだ。,え...ここは一体いったいどこなんだ？ セレスティーナの下にいるはずだけど…もう一人でなんでもできるんだ。,,,,,,,,,,,,,,,,,,,,,,,,
ジージー,,,,,,,,,,,,,,,,,,,,,,,,,
ルーンの腕輪うでわが揺ゆれていました,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
きっとセレスティナだ。,,,,,,,,,,,,,,,,,,,,,,,,,
ウーッ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
待て、一人じゃないんだ,待て、一人じゃなさそうだ,,,,,,,,,,,,,,,,,,,,,,,,待て、一人じゃないんだ
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
晩御飯 (6 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
2に匹ひきの悪い狼おおかみが部屋に入ってきて、マーカスに近づいてきました。,2に匹ひきの悪い狼おおかみが入ってきて、マーカスに近づいてきました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
見て、 晩御飯ばんごはんが落おちてきたものだ。ペコペコ。,見ろ、 晩飯ばんめしが落おちてきたぞ。腹はらが減へったな。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
おいしそうね,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
まさか。近づいてはいけない。,まさか。近づくな。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
アハ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ウーッ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
さあ、戦たたかえ! ウラー,さあ、戦たたかうぞ！うおー！,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
100ギルを手に入れた (7 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
マーカスが簡単に倒たおした後、狼おおかみは逃にげ出だした。,マーカスが簡単に倒たおすと、狼おおかみは逃にげ出だしました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
この狼おおかみたちはとても弱かった...いや、僕が強くなったのか？,狼おおかみはとても弱かったな...いや、僕が強くなったのか？,,,,,,,,,,,,,,,,,,,,,,,,
それで この宝箱たからばこには何が入っているのか？,で、この宝箱たからばこには何が入っているんだ？,,,,,,,,,,,,,,,,,,,,,,,,
100ギルを手に入れた,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
いいね！,やったぜ！,,,,,,,,,,,,,,,,,,,,,,,,
何か忘れているような気がする...,,,,,,,,,,,,,,,,,,,,,,,,,
セレスティーナ!,セレスティーナだ！,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ルーンチャット (8 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
💎 大丈夫？ 💎,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
はい 狼に気を,ああ、狼に気を,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
取られてしまって,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
倒たおさなきゃ,倒たおさなくて,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
💎 安心あんしんした 💎,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
あなたは大丈夫？,君は大丈夫？,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
💎 そうね 💎,💎 ええ 💎,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
交差点こうさてんがある,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
どこに行いくか,どの方向に行いこうか,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
💎 地図では東 💎,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
暗闇くらやみの中に歩いて,暗闇くらやみの中を歩いて,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
クッキーを踏ふんだ気分きぶん,クッキーを踏ふんだ気分きぶんだ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
💎 クッキー？ 💎,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
同時 (9 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
同時どうじに3層そうの部屋に着つきました。,同時どうじに3つの層そうからなる場所に着つきました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
セレスティナ！,セレスティーナ！,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
マーカス！ルーン入ったブレスレットは、とても便利ね,マーカス！ルーンのブレスレットはとても便利ね,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
そうなんだ！,そうなんだよ！,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
地図によると、このドアを通とおるはずだ,地図によると、この入口を通とおるはずよ,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
じゃあ、何を待っているんだ？,早く行こう,"Maybe, he wants to say ""what are you waiting for?"" but this is not common in Japanese. In these situations, we would use Let's go, Let's do this now, or somehting like this ",,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
回復 (10 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
広ひろい部屋にはが光ひかっているように池いけがありました。,広ひろい部屋には輝かがやく池いけがありました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ほら、水よ。手についた狼おおかみの血ちを落おとしたい。,ほら、水だ。手についた狼おおかみの血ちを落おとしたい。,,,,,,,,,,,,,,,,,,,,,,,,
手を水につけると、,,,,,,,,,,,,,,,,,,,,,,,,,
キラキラと光ひかります,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
完全かんぜんに回復かいふくした気分きぶんだ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
洞窟どうくつには魔法まほうがあるようだ,この洞窟どうくつには魔法まほうがあるようね,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
フーン 準備じゅんびはできている,ふーん、準備じゅんびはできているけど,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
こっちだ、行こう,こっちよ、行きましょう,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
キノコ (11 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
次の部屋では、道の両側りょうがわに赤いキノコが生はえていました。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
このキノコのように石いしが生はえている部屋は、そう遠くない。行くぞ！,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
この匂におい...,,,,,,,,,,,,,,,,,,,,,,,,,
マーカス待って！,,,,,,,,,,,,,,,,,,,,,,,,,
あ！足が動かない。,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
私も困こまっている,私も…,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
吸い込んだガズ (12 / 19),吸い込んだガス (12 / 19),,,,,,,,,,,,,,,,,,,,,,,,
キノコが広ひろげたガズをマーカスとセレスティーナが吸すい込こんで、動けなくなりました。 ドアから2匹ひきの歩くキノコが出ました。,キノコが出したガスをマーカスとセレスティーナが吸すい込こんだため、動けなくなりました。すると入口から2匹ひきの歩くキノコが出てきました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
見てパパ、狼を2匹ひき捕つかまえたよ！珍めずらしいね。,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
狼なんかじゃない馬鹿ばか。この人間にんげんを逃がして。,狼なんかじゃない馬鹿ばか。この人間にんげんを逃してあげなさい。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
青と緑の森からやってくるキノコなんでしょうね,青と緑の森からやってきたキノコね,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
え...面白い...,へえ...面白いな...,,,,,,,,,,,,,,,,,,,,,,,,
そうなんだ,その通りさ,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ここで何をしているんだ？,ここで何をしているの？,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
伝説のキノコ (13 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
「キノコの髭ひげとその息子は昔むかしここに来たんだ。森に帰りたいけど、ここでいい友達ができた」と話しました。,「キノコの髭ひげとその息子は昔むかしここに来たんだ。森に帰りたいけど、ここでいい友達ができたのさ」と話しました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
なるほど。本で読んだ森を訪ねてみたい。,なるほど。一度は本で読んだあの森を訪ねてみたいわ。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
伝説でんせつであると思った,伝説でんせつだと思ってた,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
確たしかに俺おれたちは昔むかしの魔法まほうの時代じだいの物なの。,確たしかに俺おれたちは、昔むかしの魔法まほうの時代じだいの存在だ。,,,,,,,,,,,,,,,,,,,,,,,,
だが、もう行け。 頑張って、若い人間たちよ。,だが、もう行け。 若い人間たちよ、頑張るんだぞ。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
感謝かんしゃします,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
オオカミを食べに行くぞ,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
水浸し部屋 (14 / 19),水浸しの場所 (14 / 19),,,,,,,,,,,,,,,,,,,,,,,,
次の部屋が水浸みずびたしになっていました。マーカスはレバーのある場所ばしょまでジャンプしました。,次に入った場所は水浸みずびたしになっていました。マーカスはレバーのある場所ばしょまでジャンプします。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
レバーを押せばいいのかな,レバーを引けばいいのかな,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ズドン,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
見て、水から岩いわが出てきた,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
かっこいい、これで渡わたるわ。ついてきて。,すてき、これで渡わたれるわ。ついてきて。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
水浸し部屋 (15 / 19),水浸しの場所 (15 / 19),,,,,,,,,,,,,,,,,,,,,,,,
寒くて静かな部屋に岩いわから岩いわへ飛とび移うつる。,寒くて静かな場所で、岩いわから岩いわへ飛とび移うつります。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
この水に落おちるのは嫌いやだな、すごく汚きたなそうだ,この水に落おちるのは嫌いやね。すごく汚きたなそうだもの。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
底そこに何があるんだろう,底そこには何があるんだろう,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
あと少しだ,あと少し,,,,,,,,,,,,,,,,,,,,,,,,
ザブン,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
何だったんだ？,何の音だろう？,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
さあ、早く出よう。ここは好きじゃない。,さあ、早く出ましょう。ここは好きじゃないわ。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
石がある部屋 (16 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
レオの地図によると石いしがある部屋に着いた。マーカスはとても楽しくて、石に向むかって走っていく。,レオの地図の石いしがある部屋に着きました。マーカスはとても嬉しそうに、石に向むかって走っていきます。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ガッカリ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
なぜそんなに悲しそうなんだ？,どうしたの？,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
この石は...いいルーンストーンなんだけど...特別とくべつなものじゃない。見てみる。,この石は...いいルーンストーンなんだけど...言うほど特別とくべつなものじゃないな。もう少し見てみるよ。,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
なるほど...,,,,,,,,,,,,,,,,,,,,,,,,,
え？,,,,,,,,,,,,,,,,,,,,,,,,,
地面じめんが揺ゆれているのか？,地面じめんが揺ゆれているの？,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
巨大なワーム (17 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
地面じめんから巨大きょだいなワームが飛とび出だしてくる。 セレスティナとマーカスは盾たてを取とり出だしました。,地面じめんから巨大きょだいなワームが飛とび出だしてきました。 セレスティナとマーカスは盾たてを取とり出だしました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
なんだ、あれは!,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ワーム？ここで？,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
大おおきすぎる。戦たたかえないわ。,大おおきすぎる。戦たたかえないぞ。,,,,,,,,,,,,,,,,,,,,,,,,
ワームが攻撃こうげきに入る中ちゅう、,ワームが攻撃こうげき態勢たいせいに入ると,,,,,,,,,,,,,,,,,,,,,,,,
マーカスは怖こわがり始はじめるが、,,,,,,,,,,,,,,,,,,,,,,,,,
セレスティナは,セレスティーナは,,,,,,,,,,,,,,,,,,,,,,,,
落おち着ついて静かに,,,,,,,,,,,,,,,,,,,,,,,,,
していました。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
魔法 (18 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
セレスティナの手から、火の玉たまが形かたちになって、ワームに投なげつけました。,セレスティーナは手の上で火の玉たまを形かたち作り、ワームに投なげつけました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ヒーッ,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
ワーム、ごめんね,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
出て行く,逃げて行ったぞ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
誰ですか (19 / 19),誰なのか (19 / 19),,,,,,,,,,,,,,,,,,,,,,,,
その後うしろから、壁かべの中に扉とびらが開ひらくて、女性じょせいが降おりてきました。,二人の後ろにあった壁かべの扉とびらが開き、中から女性じょせいが出てきました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
セレスティナ...,セレスティーナ…,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
えっ？,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
戦たたかいの中でやったことは...,さっきやったことは...,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
どうしたの？ ワームが攻撃こうげきしてきたのか？,どうしたの？ ワームが攻撃こうげきしてきたの？,,,,,,,,,,,,,,,,,,,,,,,,
アッ,,,,,,,,,,,,,,,,,,,,,,,,,
ハッ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
あなたは誰ですか？,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
